smiles,ccdid,description,sm_check,rd_smiles,res_smiles
Cc1c(c2c([nH]1)N=C(NC2=O)N)Sc3ccc(c(c3)Cl)C(=O)NC(CCC(=O)O)C(=O)O,1UF,"n-{4-[(2-amino-6-methyl-4-oxo-4,7-dihydro-3h-pyrrolo[2,3-d]pyrimidin-5-yl)sulfanyl]-2-chlorobenzoyl}-l-glutamic acid",True,Cc1[nH]c2nc(N)[nH]c(=O)c2c1Sc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)c(Cl)c1,Cc1[nH]c2nc(N)[nH]c(=O)c2c1Sc1ccc(C(=O)NC(C=O)CCC(=O)O)c(Cl)c1
Cc1c(c(c(cn1)COP(=O)(O)O)C=NC(CO)C(=O)O)O,1W9,(2r)-2-[(e)-[2-methyl-3-oxidanyl-5-(phosphonooxymethyl)pyridin-4-yl]methylideneamino]-3-oxidanyl-propanoic acid,True,Cc1ncc(COP(=O)(O)O)c(C=NC(CO)C(=O)O)c1O,Cc1ncc(COP(=O)(O)O)c(C=NC(C=O)CO)c1O
C(C(C(=O)O)N)OC(=O)C=CN,1X6,o-[(2e)-3-aminoprop-2-enoyl]-l-serine,True,NC=CC(=O)OCC(N)C(=O)O,NC=CC(=O)OCC(N)C=O
CC(=O)NC(CS)C(=O)O,1ZT,n-acetyl-l-cysteine,True,CC(=O)NC(CS)C(=O)O,CC(=O)NC(C=O)CS
c1cc(ccc1CC(C(=O)O)N)Cl,200,4-chloro-l-phenylalanine,True,NC(Cc1ccc(Cl)cc1)C(=O)O,NC(C=O)Cc1ccc(Cl)cc1
c1cc(ccc1CCC2CC3=C(NC2)NC(=NC3=O)N)C(=O)NC(CCC(=O)O)C(=O)O,21V,"n-(4-{2-[(6s)-2-amino-4-oxo-1,4,5,6,7,8-hexahydropyrido[2,3-d]pyrimidin-6-yl]ethyl}benzoyl)-l-glutamic acid",True,Nc1nc(=O)c2c([nH]1)NCC(CCc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)C2,Nc1nc(=O)c2c([nH]1)NCC(CCc1ccc(C(=O)NC(C=O)CCC(=O)O)cc1)C2
c1ccc(cc1)CC(CNC(Cc2ccc(cc2)O)C(=O)O)N,22G,n-[(2s)-2-amino-3-phenylpropyl]-l-tyrosine,True,NC(CNC(Cc1ccc(O)cc1)C(=O)O)Cc1ccccc1,NC(CNC(C=O)Cc1ccc(O)cc1)Cc1ccccc1
c1ccc2c(c1)cccc2CC(C(=O)O)N3C(=O)c4ccc(cc4C3=O)C(=O)O,23C,"2-[(1r)-1-carboxy-2-naphthalen-1-ylethyl]-1,3-dioxo-2,3-dihydro-1h-isoindole-5-carboxylic acid",True,O=C(O)c1ccc2c(c1)C(=O)N(C(Cc1cccc3ccccc13)C(=O)O)C2=O,O=CC(Cc1cccc2ccccc12)N1C(=O)c2ccc(C(=O)O)cc2C1=O
c1ccc(cc1)C=C(C(=O)O)N,23F,(2z)-2-amino-3-phenylacrylic acid,True,NC(=Cc1ccccc1)C(=O)O,NC(C=O)=Cc1ccccc1
CCC(=O)NCC(C(=O)O)N,23P,3-(propanoylamino)-l-alanine,True,CCC(=O)NCC(N)C(=O)O,CCC(=O)NCC(N)C=O
